msg_id,date,title,brand,category,price,sizes,stock,description
33121,2026-06-26,Футболка Comme des Garçons,Other,Tee,1500.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
33111,2026-06-26,Футболка Supreme,Other,Tee,1500.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
33101,2026-06-26,Футболка поло Gucci,Gucci,Tee,1500.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
33082,2026-06-25,Футболка Martine rose,Other,Tee,1500.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
33081,2026-06-25,Футболка Bape x Hello Kitty,BAPE,Tee,1500.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
33062,2026-06-25,Футболка Calvin Klein,Louis Vuitton,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
33051,2026-06-24,Футболка Levis,Other,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
33041,2026-06-24,Футболка Levi’s,Other,Tee,1500.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
33037,2026-06-24,Футболка Oakley,Oakley,Tee,1100.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
33019,2026-06-24,Футболка Bape,BAPE,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
33010,2026-06-23,Подборка товара по слив цене 🕳️,Other,Hoodie,650.0,—,1,"ВСЕ МОДЕЛИ ДОСТУПНЫ В РАЗМЕРЕ L
Цена любой футболки на ваш выбор - 650₽ шт
Цена свитшота - 1300₽шт
За заказом пишем @optobazaSAINTp"
33004,2026-06-23,Подборка товара по слив цене 🕳️,Other,Tee,650.0,—,1,"ВСЕ МОДЕЛИ ДОСТУПНЫ В РАЗМЕРЕ M❗️
Цена любой футболки на ваш выбор - 650₽ шт
За заказом пишем @optobazaSAINTp"
32994,2026-06-23,Подборка товара по слив цене 🕳️,Other,Tee,650.0,—,1,"ВСЕ МОДЕЛИ ДОСТУПНЫ В РАЗМЕРЕ S
Цена любой футболки на ваш выбор - 650₽ шт
За заказом пишем @optobazaSAINTp"
32984,2026-06-23,Футболка Comme des Garçons,Other,Tee,1000.0,—,1,"NEW CONTENT
Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы"
32972,2026-06-22,Футболка Louis Vuitton,Louis Vuitton,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32963,2026-06-22,Футболка Valentino,Valentino,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32953,2026-06-22,Футболка Kenzo,Kenzo,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32949,2026-06-22,Футболка Oakley,Oakley,Tee,1000.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32932,2026-06-21,Подборка товара по слив цене 🕳️,Other,Hoodie,650.0,—,1,"ВСЕ МОДЕЛИ ДОСТУПНЫ В РАЗМЕРЕ L
Цена любой футболки на ваш выбор - 650₽ шт
Цена свитшота - 1300₽шт
За заказом пишем @optobazaSAINTp"
32926,2026-06-21,Подборка товара по слив цене 🕳️,Other,Tee,650.0,—,1,"ВСЕ МОДЕЛИ ДОСТУПНЫ В РАЗМЕРЕ M❗️
Цена любой футболки на ваш выбор - 650₽ шт
За заказом пишем @optobazaSAINTp"
32914,2026-06-21,Подборка товара по слив цене 🕳️,Other,Tee,650.0,—,1,"ВСЕ МОДЕЛИ ДОСТУПНЫ В РАЗМЕРЕ S
Цена любой футболки на ваш выбор - 650₽ шт
За заказом пишем @optobazaSAINTp"
32909,2026-06-21,СЛИВ 🕳️,Saint Laurent,Tee,650.0,—,1,"Футболка Saint Laurent
- Материал: хлопок
- Бирка под бренд
- Умеренная база"
32905,2026-06-20,СЛИВ 🕳️,Undercover,Hoodie,1400.0,—,1,"Худи Undercover Horror
- Материал: хлопок/шлифованная нитка
- Бирка под бренд
- Умеренный оверсайз"
32901,2026-06-20,СЛИВ 🕳️,Other,Other,1300.0,—,1,"Полузамок Y-3
- Материал: хлопок/шлифованная нитка
- Бирка под бренд
- Умеренный оверсайз"
32897,2026-06-20,СЛИВ 🕳️,Other,Hoodie,1400.0,—,1,"Худи Supreme tardy
- Материал: хлопок/шлифованная нитка
- Бирка под бренд
- Умеренный оверсайз"
32888,2026-06-19,Футболка Bape,BAPE,Tee,1500.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32880,2026-06-19,Футболка Bape,BAPE,Tee,1500.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32872,2026-06-19,Футболка Bape,BAPE,Tee,1500.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32864,2026-06-19,Футболка Bape,BAPE,Tee,1500.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32862,2026-06-19,🔥 СЕКРЕТНЫЕ БОКСЫ 🔥,Other,Hoodie,2000.0,—,1,"Разгружаю склад и запускаю боксы всего за 2000₽.
📦 В каждом боксе — 3 случайных товара из ассортимента бренда.
Самое интересное:
🔥 С большой вероятностью в боксе попадается худи, которое только по моей оптовой цене стоит 1850₽. То есть одно худи практически окупает стоимость всего бокса."
32857,2026-06-18,🔥 СЕКРЕТНЫЕ БОКСЫ 🔥,Other,Hoodie,2000.0,—,1,"Разгружаю склад и запускаю боксы всего за 2000₽.
📦 В каждом боксе — 3 случайных товара из ассортимента бренда.
Самое интересное:
🔥 С большой вероятностью в боксе попадается худи, которое только по моей оптовой цене стоит 1850₽. То есть одно худи практически окупает стоимость всего бокса."
32844,2026-06-17,Футболка Levi’s,Other,Tee,1500.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
32835,2026-06-17,Футболка Oakley,Oakley,Tee,1500.0,—,1,"Размерный ряд: S, M , L, XL, 2XL
Материал - хлопок
Отправка из Москвы
КАТАЛОГ И УСЛОВИЯ В ЗАКРЕПЕ КАНАЛА"
