id,code,name,category,price,stock,available,description,image
f665dea6-9654-11f0-0a80-1bbe001c7826,00455,"Лонгслив Acne Studios (Белый, L)",Лонгсливы/Acne Studios,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/aebde30a-5cda-4b84-9fbc-99f743788540
f667ffe7-9654-11f0-0a80-1bbe001c782d,00456,"Лонгслив Acne Studios (Белый, M)",Лонгсливы/Acne Studios,1300.0,-1.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/aebde30a-5cda-4b84-9fbc-99f743788540
f66a799c-9654-11f0-0a80-1bbe001c7834,00457,"Лонгслив Acne Studios (Белый, S)",Лонгсливы/Acne Studios,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/aebde30a-5cda-4b84-9fbc-99f743788540
f66ca988-9654-11f0-0a80-1bbe001c783b,00458,"Лонгслив Acne Studios (Белый, XL)",Лонгсливы/Acne Studios,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/aebde30a-5cda-4b84-9fbc-99f743788540
f66ea4d1-9654-11f0-0a80-1bbe001c7842,00459,"Лонгслив Acne Studios (Черный, 2XL)",Лонгсливы/Acne Studios,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/aebde30a-5cda-4b84-9fbc-99f743788540
f6709a4f-9654-11f0-0a80-1bbe001c7849,00460,"Лонгслив Acne Studios (Черный, L)",Лонгсливы/Acne Studios,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/aebde30a-5cda-4b84-9fbc-99f743788540
f672e7c8-9654-11f0-0a80-1bbe001c7850,00461,"Лонгслив Acne Studios (Черный, M)",Лонгсливы/Acne Studios,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/aebde30a-5cda-4b84-9fbc-99f743788540
f6753aea-9654-11f0-0a80-1bbe001c7857,00462,"Лонгслив Acne Studios (Черный, S)",Лонгсливы/Acne Studios,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/aebde30a-5cda-4b84-9fbc-99f743788540
f6772a8b-9654-11f0-0a80-1bbe001c785e,00463,"Лонгслив Acne Studios (Черный, XL)",Лонгсливы/Acne Studios,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/aebde30a-5cda-4b84-9fbc-99f743788540
e35bfdd7-26ac-11f1-0a80-04250030b13c,00287,Лонгслив BAPE Baby Milo,Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/3a7d712f-b79e-4473-aa86-628c9f419651
ec4fe73e-26ac-11f1-0a80-1905002ff71b,02311,"Лонгслив BAPE Baby Milo (2XL, Белый)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/3a7d712f-b79e-4473-aa86-628c9f419651
ec53f6d4-26ac-11f1-0a80-1905002ff724,02312,"Лонгслив BAPE Baby Milo (L, Белый)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/3a7d712f-b79e-4473-aa86-628c9f419651
ec58b209-26ac-11f1-0a80-1905002ff72d,02313,"Лонгслив BAPE Baby Milo (M, Белый)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/3a7d712f-b79e-4473-aa86-628c9f419651
ec5d0ebd-26ac-11f1-0a80-1905002ff736,02314,"Лонгслив BAPE Baby Milo (S, Белый)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/3a7d712f-b79e-4473-aa86-628c9f419651
ec6607b4-26ac-11f1-0a80-1905002ff73f,02315,"Лонгслив BAPE Baby Milo (XL, Белый)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/3a7d712f-b79e-4473-aa86-628c9f419651
357445c7-c601-11f0-0a80-05ed000dde68,00229,Лонгслив BAPE Baby Milo Palms,Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/5ead7a7f-20d2-4da6-9fac-b8ffbf4f1817
448df307-c601-11f0-0a80-0fdd000d26da,01987,"Лонгслив BAPE Baby Milo Palms (2XL, Белый)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/5ead7a7f-20d2-4da6-9fac-b8ffbf4f1817
44916811-c601-11f0-0a80-0fdd000d26e2,01988,"Лонгслив BAPE Baby Milo Palms (L, Белый)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/5ead7a7f-20d2-4da6-9fac-b8ffbf4f1817
4494ab82-c601-11f0-0a80-0fdd000d26e9,01989,"Лонгслив BAPE Baby Milo Palms (M, Белый)",Лонгсливы/Bape,1300.0,0.0,True,,https://miniature-prod.moysklad.ru/miniature/87fab22b-93c2-11f0-0a80-04c3000069c0/documentminiature/5ead7a7f-20d2-4da6-9fac-b8ffbf4f1817
